contig	length	GC	phylum	class	order	family	genus	species	gff_info	cov_mean_sample_Sample118	cov_mean_sample_Sample120	cov_mean_sample_Sample127	cov_mean_sample_Sample134	cov_mean_sample_Sample177	cov_mean_sample_Sample215	cov_mean_sample_Sample230	cov_mean_sample_Sample234	cov_mean_sample_Sample244	cov_mean_sample_Sample261	cov_mean_sample_Sample263	cov_mean_sample_Sample290	cov_mean_sample_Sample302	cov_mean_sample_Sample321	cov_mean_sample_Sample330	cov_mean_sample_Sample343	percentage_covered_Sample118	percentage_covered_Sample120	percentage_covered_Sample127	percentage_covered_Sample134	percentage_covered_Sample177	percentage_covered_Sample215	percentage_covered_Sample230	percentage_covered_Sample234	percentage_covered_Sample244	percentage_covered_Sample261	percentage_covered_Sample263	percentage_covered_Sample290	percentage_covered_Sample302	percentage_covered_Sample321	percentage_covered_Sample330	percentage_covered_Sample343
contig-309000000	1019	66.2414131501	N/A	N/A	N/A	N/A	N/A	N/A	N/A	0.686948	0	0.686949	0	0	0	0.686948	0	0.392542	2.257113	0.490676	0.490677	0.490677	0	0.392542	2.245338	59.273800	0.000000	51.913600	0.000000	0.000000	0.000000	51.423000	0.000000	31.697700	78.312100	27.576100	44.062800	39.646700	0.000000	33.758600	89.205100
contig-1961000000	266	59.7744360902	N/A	N/A	N/A	N/A	N/A	N/A	N/A	0	0.751879	0.375940	0	0	0	0	0	0	1.078948	0.751880	1.127820	1.127820	0	0	2.620299	0.000000	61.654100	37.594000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	87.218000	75.188000	80.075200	59.022600	0.000000	0.000000	90.225560
contig-4520000000	103	56.3106796117	N/A	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
contig-709000000	596	56.711409396	N/A	N/A	N/A	N/A	N/A	N/A	N/A	0.503357	0.671140	1.006711	0	0	0	0.335570	0	0.167785	1.006711	0.503356	0.335571	1.006712	0	0	3.015103	35.067100	50.335600	66.778500	0.000000	0.000000	0.000000	33.557000	0.000000	16.778500	72.818800	39.094000	23.657700	64.094000	0.000000	0.000000	99.832215
contig-2210000000	229	58.9519650655	N/A	N/A	N/A	N/A	N/A	N/A	N/A	0.436681	0.436681	0.436681	0	0	0	0.436681	0	0.436681	0.781659	0.816594	0	0.436681	0	0.436681	0.436681	43.668100	43.668100	43.668100	0.000000	0.000000	0.000000	43.668100	0.000000	43.668100	41.484700	55.458500	0.000000	43.668100	0.000000	43.668100	43.668100
contig-2505000000	215	44.1860465116	N/A	N/A	N/A	N/A	N/A	N/A	N/A	0	0.930233	1.353488	0	0	0	0.465116	0	0.465116	0.465116	0	0	0.930232	0	0	0.930232	0.000000	76.279100	69.302300	0.000000	0.000000	0.000000	46.511600	0.000000	46.511600	46.511600	0.000000	0.000000	91.162790	0.000000	0.000000	85.581400
contig-4559000000	36363	48.7006022605	N/A	N/A	N/A	N/A	N/A	N/A	N/A	1.871438	4.465965	2.996809	0	0	0	4.071502	0	4.389356	1.046943	0.313478	1.127245	4.155932	4.590960	2.803618	1.486565	84.102000	99.086984	94.040650	0.000000	0.000000	0.000000	97.967710	0.000000	98.179470	63.751600	26.532500	68.781500	97.907210	99.147485	92.343870	76.924300
contig-774000000	554	59.2057761733	N/A	N/A	N/A	N/A	N/A	N/A	N/A	0	0.180505	0.541515	0	0	0	0.180505	0	0.180505	1.985557	0.541516	0.361011	0.541516	0	0.716607	1.794224	0.000000	18.050500	42.599300	0.000000	0.000000	0.000000	18.050500	0.000000	18.050500	90.613720	50.000000	34.296000	54.151600	0.000000	62.093900	94.765340
contig-3168000000	170	59.4117647059	N/A	N/A	N/A	N/A	N/A	N/A	N/A	1.176471	0	0	0	0	0	0	0	0.588235	1.764705	1.147059	0.541176	1.711764	0	0	0.588235	62.941200	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	58.823500	72.352900	76.470600	54.117600	77.058800	0.000000	0.000000	58.823500
contig-1945000000	263	62.7376425856	N/A	N/A	N/A	N/A	N/A	N/A	N/A	0.764258	0.760456	0	0	0	0	0.338403	0	0.380228	1.114068	0	0.760457	0	0	0.380228	1.847910	74.904900	76.045600	0.000000	0.000000	0.000000	0.000000	33.840300	0.000000	38.022800	55.513300	0.000000	49.429700	0.000000	0.000000	38.022800	96.577950
contig-3008000000	164	59.756097561	N/A	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0	0	0	0.609756	0	0.609756	1.176829	1.219512	0.609756	0	0	0	1.152439	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	60.975600	0.000000	60.975600	81.707300	63.414600	60.975600	0.000000	0.000000	0.000000	75.000000
contig-3860000000	161	40.3726708075	N/A	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0.621118	0.583851	0	0	0	0.621118	0	0	0	2.484474	0	0	0	0.621118	0.000000	0.000000	62.111800	58.385100	0.000000	0.000000	0.000000	62.111800	0.000000	0.000000	0.000000	87.577600	0.000000	0.000000	0.000000	62.111800
contig-765000000	563	58.7921847247	N/A	N/A	N/A	N/A	N/A	N/A	N/A	0.532860	0.888100	0.888099	0	0	0	0	0	0.527531	2.131440	0	0.177620	1.243339	0	0.703375	2.484902	53.286000	63.055100	56.305500	0.000000	0.000000	0.000000	0.000000	0.000000	35.879200	94.316160	0.000000	17.762000	82.593300	0.000000	65.008900	91.829480
contig-4372000000	107	44.8598130841	N/A	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0	0	0	0	0	0	0.803738	0	0	0	0	0	0	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	80.373800	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
contig-4451000000	120	59.1666666667	N/A	N/A	N/A	N/A	N/A	N/A	N/A	0.833333	0.733333	0	0	0	0	0.733333	0	0.833333	0.750000	0.833333	0	0	0	0	1.633333	83.333300	73.333300	0.000000	0.000000	0.000000	0.000000	73.333300	0.000000	83.333300	75.000000	83.333300	0.000000	0.000000	0.000000	0.000000	95.000000
contig-4032000000	117	35.0427350427	N/A	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	1.709402	0	0	0	0	0	0	0	0	0	0	0	0	0.000000	0.000000	0.000000	85.470100	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
contig-4323000000	111	45.045045045	N/A	N/A	N/A	N/A	N/A	N/A	N/A	0.846847	0	0	0	0	0	0	0	0	1.738739	0	0	0	0	0	0	84.684700	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	100.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
contig-4890000000	100	53.0	N/A	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	100.000000
contig-2061000000	246	52.4390243902	N/A	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0	0	0	0	0.406504	0.406504	0	0	2.845531	0	0	1.174797	0	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	40.650400	40.650400	0.000000	0.000000	86.178900	0.000000	0.000000	97.967480	0.000000
contig-4445000000	107	45.7943925234	N/A	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0	0	0	0	0	0	0	0	0	0.906542	0	0.934579	0.934579	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	90.654210	0.000000	93.457940	93.457940
contig-4592000000	101	66.3366336634	N/A	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
contig-1459000000	338	67.1597633136	N/A	N/A	N/A	N/A	N/A	N/A	N/A	0.295858	0.591716	0.887574	0	0	0	0.887574	0	0	2.071006	0.295858	0	0.591716	0	0.591716	2.071007	29.585800	32.544400	31.065100	0.000000	0.000000	0.000000	61.834300	0.000000	0.000000	74.556200	29.585800	0.000000	59.171600	0.000000	52.366900	76.331400
contig-332000000	971	61.5859938208	N/A	N/A	N/A	N/A	N/A	N/A	N/A	0.205973	0	1.132852	0	0	0	0	0	0.308960	1.941299	0.304840	0.205973	0.920701	0	0.308959	2.574664	20.597300	0.000000	56.951600	0.000000	0.000000	0.000000	0.000000	0.000000	30.896000	81.565400	30.484000	20.597300	73.223500	0.000000	27.600400	86.508800
contig-1043000000	443	59.1422121896	N/A	N/A	N/A	N/A	N/A	N/A	N/A	0.225734	0.902935	0.677202	0	0	0	0.225734	0	0.451467	1.799100	0.225734	0.656885	0.902936	0	0.451467	2.462753	22.573400	57.110600	48.532700	0.000000	0.000000	0.000000	22.573400	0.000000	45.146700	84.650100	22.573400	59.142200	41.760700	0.000000	26.185100	90.293450
contig-2635000000	189	26.9841269841	N/A	N/A	N/A	N/A	N/A	N/A	N/A	0.529101	0	1.058201	0	0	0	0	0	0.481481	0.529101	0	0	0	0	0	0.999999	52.910100	0.000000	85.714300	0.000000	0.000000	0.000000	0.000000	0.000000	48.148100	52.910100	0.000000	0.000000	0.000000	0.000000	0.000000	68.254000
contig-3749000000	128	72.65625	N/A	N/A	N/A	N/A	N/A	N/A	N/A	0.781250	0	0	0	0	0	0	0	0	0	0	0.781250	0.757812	0	0	0.742188	78.125000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	78.125000	75.781200	0.000000	0.000000	74.218800
contig-1237000000	386	65.0259067358	N/A	N/A	N/A	N/A	N/A	N/A	N/A	0.518135	0.518135	0.777202	0	0	0	0.481865	0	0	2.554404	0	0.518134	0.259067	0	0.259067	2.072540	51.813500	51.813500	52.331600	0.000000	0.000000	0.000000	48.186500	0.000000	0.000000	77.202100	0.000000	50.777200	25.906700	0.000000	25.906700	95.854920
contig-850000000	522	41.1877394636	N/A	N/A	N/A	N/A	N/A	N/A	N/A	0.766284	0.957854	0.574711	0	0	0	0.191571	0	0.574712	0.766283	0	0.191571	0.766283	0	0.191571	1.340998	61.302700	46.551700	25.478900	0.000000	0.000000	0.000000	19.157100	0.000000	44.636000	47.126400	0.000000	19.157100	60.919500	0.000000	19.157100	74.137900
contig-2515000000	197	67.0050761421	N/A	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0.507614	0	0	0	0	0	0	0.502538	0	0	0.974620	0	0	1.522842	0.000000	0.000000	50.761400	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	50.253800	0.000000	0.000000	73.096400	0.000000	0.000000	73.096400
contig-1809000000	284	63.7323943662	N/A	N/A	N/A	N/A	N/A	N/A	N/A	0.704226	1.028167	0.704226	0	0	0	0.352113	0	0	2.447182	0.352113	0	0	0	0.352113	3.873241	54.929600	47.535200	44.014100	0.000000	0.000000	0.000000	35.211300	0.000000	0.000000	99.647887	35.211300	0.000000	0.000000	0.000000	35.211300	89.436600
contig-2200000000	249	56.2248995984	N/A	N/A	N/A	N/A	N/A	N/A	N/A	1.168675	0.803213	0	0	0	0	0.803214	0	0.726908	0.803213	0.401606	0	0.401606	0	1.204818	1.967872	81.124500	80.321300	0.000000	0.000000	0.000000	0.000000	52.208800	0.000000	72.690800	48.192800	40.160600	0.000000	40.160600	0.000000	80.321300	97.188750
contig-3573000000	140462	57.9665674702	N/A	N/A	N/A	N/A	N/A	N/A	N/A	1.593186	0.071151	0.757613	0.062650	6.188589	5.917658	0.388938	2.242647	0	2.876417	5.463394	1.532558	0	0.431889	0.148005	0.004272	79.635100	6.600400	53.388800	6.126200	99.687460	99.614131	32.634400	89.564400	0.000000	94.437640	99.542937	78.241100	0.000000	35.757000	13.605100	0.304700
contig-2418000000	212	54.7169811321	N/A	N/A	N/A	N/A	N/A	N/A	N/A	0.471698	0.943397	0.471698	0	0	0	0.429245	0	0.471698	0	0	0	0.943396	0	0	0.943397	47.169800	57.075500	47.169800	0.000000	0.000000	0.000000	42.924500	0.000000	47.169800	0.000000	0.000000	0.000000	69.811300	0.000000	0.000000	59.905700
contig-3814000000	125	53.6	N/A	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0	0	0	0	0.800000	0	0	0	0	0	0	0	0	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	80.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
contig-4484000000	104	70.1923076923	N/A	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0.961538	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000000	0.000000	96.153850	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
contig-1631000000	316	62.0253164557	N/A	N/A	N/A	N/A	N/A	N/A	N/A	0.316456	0.297468	0.316456	0	0	0	0.316456	0	0.316456	0.936709	0.949368	0	1.265824	0	0.316456	2.848101	31.645600	29.746800	31.645600	0.000000	0.000000	0.000000	31.645600	0.000000	31.645600	64.240500	60.443000	0.000000	74.050600	0.000000	31.645600	93.670890
contig-4799000000	100	40.0	N/A	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	2.000000	0	0	0	0	0	0	0	0	0	0	0	0	0.000000	0.000000	0.000000	100.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
contig-3124000000	272	38.6029411765	N/A	N/A	N/A	N/A	N/A	N/A	N/A	0.367647	0	0	0	0	0	0	2.533089	0.367647	0.367647	0	1.805146	0	0.367647	2.202206	0.367647	36.764700	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	79.044100	36.764700	36.764700	0.000000	94.117650	0.000000	36.764700	88.602900	36.764700
contig-1285000000	402	62.1890547264	N/A	N/A	N/A	N/A	N/A	N/A	N/A	0.746269	1.492538	0.995025	0	0	0	0.248756	0	0.465174	1.492538	0.248756	0.248756	0.746269	0	0.248756	2.681592	74.626900	75.373100	71.393000	0.000000	0.000000	0.000000	24.875600	0.000000	46.517400	87.810900	24.875600	24.875600	57.960200	0.000000	24.875600	100.000000
contig-1602000000	313	66.4536741214	N/A	N/A	N/A	N/A	N/A	N/A	N/A	0.958464	0.638977	0.958467	0	0	0	0.638978	0	0.319489	1.277956	0	0.319489	0.958466	0	0.319489	1.568690	53.674100	42.172500	71.565500	0.000000	0.000000	0.000000	59.744400	0.000000	31.948900	83.706100	0.000000	31.948900	74.121400	0.000000	31.948900	99.680511
contig-3661000000	229	38.864628821	N/A	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0	0	0	0.436681	1.279476	0.427948	0	0	2.620085	0	0.436681	3.056763	1.310046	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	43.668100	100.000000	42.794800	0.000000	0.000000	98.689960	0.000000	43.668100	78.165900	70.305700
contig-3185000000	163	60.736196319	N/A	N/A	N/A	N/A	N/A	N/A	N/A	1.840489	0	0	0	0	0	0	0	0	1.226995	1.226993	0.613497	0	0	1.226995	1.171780	70.552100	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	73.619600	66.871200	61.349700	0.000000	0.000000	74.233100	69.938700
contig-1367000000	358	57.8212290503	N/A	N/A	N/A	N/A	N/A	N/A	N/A	1.117319	0	1.396648	0	0	0	0.279330	0	0	1.396648	0.558659	0.835194	0.279330	0	0.558659	1.117319	68.435800	0.000000	79.608900	0.000000	0.000000	0.000000	27.933000	0.000000	0.000000	71.508400	48.882700	40.223500	27.933000	0.000000	35.195500	79.050300
contig-3988000000	156	43.5897435897	N/A	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	2.532052	0	0	0	0	0	0	0	0	0	0	0	0	0.000000	0.000000	0.000000	82.692300	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
contig-3968000000	207	48.7922705314	N/A	N/A	N/A	N/A	N/A	N/A	N/A	0.483092	2.415461	2.888891	0	0	0	2.898553	0	0.483092	0.483092	0	0	3.371975	4.347831	1.376811	1.449276	48.309200	91.787440	99.516908	0.000000	0.000000	0.000000	76.328500	0.000000	48.309200	48.309200	0.000000	0.000000	85.024200	78.260900	93.236720	84.058000
contig-4450000000	105	65.7142857143	N/A	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0.895238	0	0	0	0	0	0	0	0.914286	0	0	0	0	0	0.000000	0.000000	89.523800	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	91.428570	0.000000	0.000000	0.000000	0.000000	0.000000
contig-3780000000	126	44.4444444444	N/A	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.793651	0	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	79.365100	0.000000
contig-3779000000	207	51.690821256	N/A	N/A	N/A	N/A	N/A	N/A	N/A	0.425121	1.449276	0.483092	0	0	0	0	0	0	1.449275	0	0	0.483092	0	0	0.966184	42.512100	85.507200	48.309200	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	93.719810	0.000000	0.000000	48.309200	0.000000	0.000000	72.463800
contig-1378000000	356	67.4157303371	N/A	N/A	N/A	N/A	N/A	N/A	N/A	1.932582	0.528090	0.280899	0	0	0	0.561798	0	0.280899	1.685391	0	0.561798	1.404495	0	0	1.662921	93.258430	52.809000	28.089900	0.000000	0.000000	0.000000	52.809000	0.000000	28.089900	68.539300	0.000000	52.247200	61.236000	0.000000	0.000000	82.303400
contig-2452000000	226	64.1592920354	N/A	N/A	N/A	N/A	N/A	N/A	N/A	0.884955	0.884956	0	0	0	0	0.380531	0	0	0.442478	0	0.442478	0	0	0	3.840709	62.831900	51.769900	0.000000	0.000000	0.000000	0.000000	38.053100	0.000000	0.000000	44.247800	0.000000	44.247800	0.000000	0.000000	0.000000	86.283200
contig-3542000000	182	41.2087912088	N/A	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0	0	0	0	2.670328	0	0	0	4.302199	0	0	1.049451	0	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	88.461500	0.000000	0.000000	0.000000	99.450549	0.000000	0.000000	54.945100	0.000000
contig-3243000000	150	46.0	N/A	N/A	N/A	N/A	N/A	N/A	N/A	1.273333	0	0	0	0	0	0.640000	0.666667	0	0	0	0.653333	0	0	1.333333	0	98.000000	0.000000	0.000000	0.000000	0.000000	0.000000	64.000000	66.666700	0.000000	0.000000	0.000000	65.333300	0.000000	0.000000	69.333300	0.000000
contig-2139000000	241	62.6556016598	N/A	N/A	N/A	N/A	N/A	N/A	N/A	0.414938	0	0.398340	0	0	0	0	0	0	1.215768	0.829876	0.414938	1.244814	0	0	3.248965	41.493800	0.000000	39.834000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	58.506200	64.315400	41.493800	53.527000	0.000000	0.000000	97.095440
contig-1372000000	357	65.8263305322	N/A	N/A	N/A	N/A	N/A	N/A	N/A	0.801121	0.840336	0.560223	0	0	0	0.280112	0	0.280112	0.801120	0.560224	0	0.820728	0	0	1.943978	70.868300	63.305300	38.655500	0.000000	0.000000	0.000000	28.011200	0.000000	28.011200	77.591000	56.022400	0.000000	67.787100	0.000000	0.000000	87.955200
contig-2642000000	189	43.9153439153	N/A	N/A	N/A	N/A	N/A	N/A	N/A	0.529101	0	0	0	0	0	0	0.529101	0.529101	0.529101	0	2.116400	0	0	1.587300	0	52.910100	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	52.910100	52.910100	52.910100	0.000000	100.000000	0.000000	0.000000	74.074100	0.000000
contig-2612000000	194	64.4329896907	N/A	N/A	N/A	N/A	N/A	N/A	N/A	0.515464	0	1.546391	0	0	0	0	0	0.515464	1.489691	0.515464	0	1.546391	0	0.515464	2.005156	51.546400	0.000000	57.732000	0.000000	0.000000	0.000000	0.000000	0.000000	51.546400	80.412400	51.546400	0.000000	95.360820	0.000000	51.546400	92.783510
contig-167000000	57718	59.4251360061	N/A	N/A	N/A	N/A	N/A	N/A	N/A	1.909541	4.480464	2.958177	0	0	0	4.039135	0	4.478274	1.139455	0.329030	1.258775	4.095155	4.706223	2.837780	1.627465	84.429500	98.671130	94.526840	0.000000	0.000000	0.000000	97.766730	0.000000	98.745630	64.605500	28.185300	70.586300	98.548110	98.898090	92.513600	79.763700
contig-2110000000	241	57.2614107884	N/A	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0.829875	0	0	0	0	0	0	0.414938	0.829876	0	1.244814	0	0	1.659749	0.000000	0.000000	57.261400	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	41.493800	59.336100	0.000000	65.560200	0.000000	0.000000	78.838200
contig-1851000000	411	54.0145985401	N/A	N/A	N/A	N/A	N/A	N/A	N/A	1.216545	0	0.729927	0.243309	4.581511	3.649637	0.729928	1.703163	0	1.216544	2.919705	0.729927	0	0.486619	0	0	70.316300	0.000000	56.447700	24.330900	99.513382	84.184900	42.822400	88.321200	0.000000	65.693400	74.939200	48.905100	0.000000	33.333300	0.000000	0.000000
contig-4547000000	363	63.085399449	N/A	N/A	N/A	N/A	N/A	N/A	N/A	0.550964	1.101929	0.275482	0	0	0	0.826447	0	0.275482	1.355372	0.275482	0	0.550964	0	0.826447	4.953166	55.096400	74.380200	27.548200	0.000000	0.000000	0.000000	62.259000	0.000000	27.548200	61.708000	27.548200	0.000000	55.096400	0.000000	60.881500	100.000000
contig-315000000	2202	51.1353315168	N/A	N/A	N/A	N/A	N/A	N/A	N/A	1.271570	0	1.588558	0	4.359219	5.722068	0.136240	2.043599	0	2.407358	4.302451	1.589464	0	0.363306	0.136240	0	65.440500	0.000000	79.836500	0.000000	94.414170	97.229790	13.624000	87.693000	0.000000	94.005450	95.776570	71.208000	0.000000	26.475900	13.624000	0.000000
